User-ID;Book_ID;Book-Rating
276726;17773;5
276726;36700;5
276727;96;0
276744;3446;7
276746;1880;0
276746;48832;0
276746;45679;0
276747;5907;9
276747;17848;0
276747;29259;9
276747;963;8
276755;65;5
276762;14585;5
276762;3250;0
276772;14777;0
276772;460;0
276774;37035;0
276786;74;8
276788;6572;10
276788;34971;10
276796;325;5
276804;715;0
276804;8051;0
276820;31403;0
276822;5231;10
276822;5858;0
276822;27643;6
276822;21919;10
276838;17;0
276840;3724;0
276847;25090;0
276850;7532;7
276859;5159;0
276859;2615;10
276869;906;0
276869;5413;0
276869;28782;0
276869;44983;0
276872;46862;8
276872;3140;8
276872;7819;8
276872;11721;8
276872;1540;7
276872;1739;7
276872;11026;7
276884;125;0
276887;22695;0
276889;5969;0
276896;4428;10
276925;7509;6
276925;77;0
276925;5292;0
276925;15;8
276925;697;8
276925;37914;8
276925;1324;0
276925;94;0
276925;39101;0
276925;178;0
276928;35;5
276929;494;0
276929;16971;0
276929;13414;0
276929;15313;0
276929;2786;0
276939;10908;0
276953;3;10
276964;38559;10
276964;5185;10
276964;48737;5
276964;3668;9
276964;5257;0
276964;6920;0
276964;35764;0
276964;1287;0
276964;1032;0
276964;13505;8
276964;20726;8
276964;21349;8
276964;39133;8
276964;42229;8
276964;7169;7
276986;369;10
276986;9465;10
276988;2096;7
276988;20189;7
276988;346;7
276988;1954;7
276988;14454;7
276988;46495;7
276988;9016;8
276989;15392;0
277010;3784;0
277018;3198;7
277036;4889;10
277042;953;8
277042;817;0
277042;14124;8
277042;28199;0
277042;2096;8
277042;20189;8
277042;12841;0
277042;11519;0
277042;13578;0
277042;18858;0
277042;36005;0
277042;37838;0
277042;46034;0
277042;47039;0
277042;47256;0
277042;50856;0
277051;420;8
277051;764;10
277051;34955;10
277051;571;0
277051;131;0
277085;1719;8
277085;25867;8
277094;848;10
277107;1551;10
277107;47473;5
277109;1056;5
277109;6363;5
277109;1531;5
277114;7674;0
277124;32854;9
277124;7674;9
277124;44729;5
277128;31403;8
277143;1441;10
277143;21;9
277143;11047;8
277157;5398;0
277157;6109;0
277157;10253;0
277157;51163;0
277157;29;5
277157;14839;5
277157;44094;5
277157;6790;0
277157;18620;0
277157;49256;6
277157;17734;5
277157;817;0
277157;43597;0
277157;49499;7
277157;32854;6
277157;27077;0
277157;47843;0
277157;16951;0
277157;7645;0
277157;5352;0
277157;13139;0
277157;9265;6
277168;51158;0
277168;44724;0
277168;5313;0
277168;30040;0
277168;3122;0
277168;1691;0
277168;247;4
277168;47037;6
277170;42883;0
277170;17750;0
277170;37918;0
277170;4536;0
277171;4014;0
277171;15494;9
277171;2666;0
277171;7888;9
277171;3905;0
277171;7456;0
277171;27521;0
277171;36352;0
277171;2329;0
277179;1921;7
277187;1546;0
277187;389;9
277187;8915;0
277188;11751;8
277188;20509;8
277195;7683;0
